nameGiven,weight,height,debut,finalGame,birthYear,birthCity,deathYear,deathCity
"William Robert",205,75,1958-09-16,1970-09-29,1934,Raytown,1995,"Rio Verde"
Pedro,175,72,1955-04-11,1970-04-25,1935,"Pinar del Rio",NULL,NULL
"Harmon Clayton",195,72,1954-06-23,1975-09-26,1936,Payette,2011,Scottsdale
"Camilo Alberto",170,71,1954-04-15,1971-05-05,1934,"La Habana",NULL,NULL
"Darragh Dean",205,76,1953-09-13,1963-06-21,1930,Moline,2018,"East Moline"
"Everett Lamar",170,68,1951-04-17,1961-10-01,1927,Refugio,2015,"Coeur d'Alene"
"James Robert",200,76,1950-08-20,1963-09-29,1928,Covington,2006,Brandon
"Conrado Eugenio",158,65,1950-04-21,1954-09-07,1911,"Sagua La Grande",2014,"La Habana"
"Jack Eugene",190,71,1950-04-18,1961-10-01,1927,"San Francisco",1982,Charlottesville
"Roy Edward",195,73,1949-04-21,1965-05-09,1926,"St. Louis",2017,"Spanish Lake"
"Erwin Cooledge",190,72,1948-08-08,1959-09-21,1923,Newport,1980,Charlotte
"Edward Frederick",170,70,1944-08-16,1962-07-28,1926,Brooklyn,2012,Weston
"Casimir Eugene",175,71,1943-08-19,1954-08-27,1926,Detroit,1982,"Grosse Pointe"
"William Edward",210,74,1942-09-09,1957-09-15,1920,Paris,NULL,NULL
"Stanley Orville",180,70,1940-06-08,1949-10-02,1915,"South Portsmouth",1983,Kinston
"Sidney Charles",180,76,1940-04-18,1954-09-25,1915,Coalfield,2008,Waco
Early,190,72,1939-09-13,1963-09-13,1920,Hartford,1999,Venice
"James Barton",170,74,1939-07-08,1960-09-27,1918,"Marcus Hook",2008,Media
"Walter Edward",189,74,1939-05-08,1956-09-24,1920,Philadelphia,2008,Durham
"Jacob Willard",168,71,1939-05-04,1949-09-30,1915,"Kings Mountain",1985,Melbourne
"George Washington",183,72,1937-09-08,1947-08-03,1915,Trenton,1989,Trenton
"John Kelly",175,73,1935-09-16,1949-09-30,1916,"Gaston County",2011,Gastonia
"Emil John",175,72,1933-08-31,1953-09-25,1909,Auburn,1983,Springfield
"Cecil Howell",185,73,1933-05-16,1947-09-23,1913,Riverdale,2006,Riverdale
"Robert Lee",180,72,1933-04-12,1945-09-23,1905,Pryor,1982,Tacoma
"William Benjamin",190,72,1930-04-15,1946-05-12,1908,Nashville,1993,Hoover
"Richard Benjamin",160,70,1929-04-19,1947-09-14,1905,Durham,1995,"Bloomfield Hills"
"Wesley Cheek",195,74,1927-09-09,1941-05-06,1908,Greensboro,1976,Sarasota
"Alvin Floyd",170,70,1926-07-24,1936-06-22,1899,Winston-Salem,1972,Winston-Salem
"Jack Erwin",178,73,1926-05-05,1940-08-07,1905,Paris,1990,Clearwater
"Joseph Edward",180,71,1926-04-29,1945-04-19,1906,"San Francisco",1984,Barnstable
"Charles Solomon",163,70,1925-09-26,1941-09-24,1904,Ellisville,1974,"Baton Rouge"
"Henry Emmett",200,73,1923-04-20,1939-05-22,1901,Tuscumbia,1971,Sarasota
"Oswald Louis",162,71,1922-04-24,1939-07-13,1900,Chicago,1985,Edina
